[16-May-2024 05:32:48 UTC] PHP Parse error:  syntax error, unexpected token "}" in /Users/jithin/Desktop/Projects/pluginAssignment/wp-content/plugins/script/script-blocking.php on line 77
[16-May-2024 05:32:48 UTC] PHP Notice:  Function is_embed was called incorrectly. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /Users/jithin/Desktop/Projects/pluginAssignment/wp-includes/functions.php on line 6078
[16-May-2024 05:32:48 UTC] PHP Notice:  Function is_search was called incorrectly. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /Users/jithin/Desktop/Projects/pluginAssignment/wp-includes/functions.php on line 6078
[16-May-2024 05:32:49 UTC] PHP Parse error:  syntax error, unexpected token "}" in /Users/jithin/Desktop/Projects/pluginAssignment/wp-content/plugins/script/script-blocking.php on line 77
[16-May-2024 05:32:49 UTC] PHP Notice:  Function is_embed was called incorrectly. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /Users/jithin/Desktop/Projects/pluginAssignment/wp-includes/functions.php on line 6078
[16-May-2024 05:32:49 UTC] PHP Notice:  Function is_search was called incorrectly. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /Users/jithin/Desktop/Projects/pluginAssignment/wp-includes/functions.php on line 6078
[16-May-2024 05:32:50 UTC] PHP Parse error:  syntax error, unexpected token "}" in /Users/jithin/Desktop/Projects/pluginAssignment/wp-content/plugins/script/script-blocking.php on line 77
[16-May-2024 05:32:50 UTC] PHP Notice:  Function is_embed was called incorrectly. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /Users/jithin/Desktop/Projects/pluginAssignment/wp-includes/functions.php on line 6078
[16-May-2024 05:32:50 UTC] PHP Notice:  Function is_search was called incorrectly. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /Users/jithin/Desktop/Projects/pluginAssignment/wp-includes/functions.php on line 6078
[16-May-2024 05:32:52 UTC] PHP Parse error:  syntax error, unexpected token "}" in /Users/jithin/Desktop/Projects/pluginAssignment/wp-content/plugins/script/script-blocking.php on line 77
[16-May-2024 05:32:52 UTC] PHP Notice:  Function is_embed was called incorrectly. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /Users/jithin/Desktop/Projects/pluginAssignment/wp-includes/functions.php on line 6078
[16-May-2024 05:32:52 UTC] PHP Notice:  Function is_search was called incorrectly. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /Users/jithin/Desktop/Projects/pluginAssignment/wp-includes/functions.php on line 6078
[16-May-2024 05:32:57 UTC] PHP Parse error:  syntax error, unexpected token "}" in /Users/jithin/Desktop/Projects/pluginAssignment/wp-content/plugins/script/script-blocking.php on line 77
[16-May-2024 05:32:57 UTC] PHP Notice:  Function is_embed was called incorrectly. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /Users/jithin/Desktop/Projects/pluginAssignment/wp-includes/functions.php on line 6078
[16-May-2024 05:32:57 UTC] PHP Notice:  Function is_search was called incorrectly. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /Users/jithin/Desktop/Projects/pluginAssignment/wp-includes/functions.php on line 6078
[16-May-2024 05:32:59 UTC] PHP Parse error:  syntax error, unexpected token "}" in /Users/jithin/Desktop/Projects/pluginAssignment/wp-content/plugins/script/script-blocking.php on line 77
[16-May-2024 05:32:59 UTC] PHP Notice:  Function is_embed was called incorrectly. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /Users/jithin/Desktop/Projects/pluginAssignment/wp-includes/functions.php on line 6078
[16-May-2024 05:32:59 UTC] PHP Notice:  Function is_search was called incorrectly. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /Users/jithin/Desktop/Projects/pluginAssignment/wp-includes/functions.php on line 6078
[16-May-2024 05:42:02 UTC] PHP Fatal error:  Uncaught TypeError: call_user_func_array(): Argument #1 ($callback) must be a valid callback, function "sb_consent_log_page" not found or invalid function name in /Users/jithin/Desktop/Projects/pluginAssignment/wp-includes/class-wp-hook.php:324
Stack trace:
#0 /Users/jithin/Desktop/Projects/pluginAssignment/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters('', Array)
#1 /Users/jithin/Desktop/Projects/pluginAssignment/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#2 /Users/jithin/Desktop/Projects/pluginAssignment/wp-admin/admin.php(259): do_action('script-blocker-...')
#3 /Users/jithin/.composer/vendor/laravel/valet/server.php(110): require('/Users/jithin/D...')
#4 {main}
  thrown in /Users/jithin/Desktop/Projects/pluginAssignment/wp-includes/class-wp-hook.php on line 324
[16-May-2024 06:47:29 UTC] PHP Fatal error:  Cannot redeclare sb_block_scripts() (previously declared in /Users/jithin/Desktop/Projects/pluginAssignment/wp-content/plugins/script/script-blocking.php:220) in /Users/jithin/Desktop/Projects/pluginAssignment/wp-content/plugins/script/script-blocking.php on line 282
[16-May-2024 06:48:01 UTC] PHP Fatal error:  Cannot redeclare sb_block_scripts() (previously declared in /Users/jithin/Desktop/Projects/pluginAssignment/wp-content/plugins/script/script-blocking.php:220) in /Users/jithin/Desktop/Projects/pluginAssignment/wp-content/plugins/script/script-blocking.php on line 282
[16-May-2024 06:48:01 UTC] PHP Notice:  Function is_embed was called incorrectly. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /Users/jithin/Desktop/Projects/pluginAssignment/wp-includes/functions.php on line 6078
[16-May-2024 06:48:01 UTC] PHP Notice:  Function is_search was called incorrectly. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /Users/jithin/Desktop/Projects/pluginAssignment/wp-includes/functions.php on line 6078
